id,name,protiens,calories,fat,total_carbs,fiber,sugar,net_carbs,portion,unit,created_by,edit_by,created_at,updated_at,glycemic_index
187,melon,1,34,0,9,1,8,8,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:09,2022-04-22 11:56:09,0.0
188,fish sauce,2,10,0,1,0,1,1,30,ml,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:10,2022-04-22 11:56:10,0.0
189,plums,1,46,0,11,1,10,10,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:12,2022-04-22 11:56:12,0.0
190,mushrooms (portobello),2,22,0,4,1,3,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:14,2023-08-15 07:41:37,10.0
191,shirataki noodles,0,9,0,3,3,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:15,2022-04-22 11:56:15,0.0
192,collard greens,4,35,0,6,4,0,2,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:17,2022-04-22 11:56:17,0.0
193,squash (acorn),1,40,0,10,2,2,8,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:18,2023-08-15 08:09:38,8.0
194,applesauce (unsweetened),0,7,0,1,0,1,1,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:20,2023-08-30 03:17:22,0.0
195,water,0,0,0,0,0,0,0,30,ml,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:21,2022-04-22 11:56:21,0.0
196,swiss chard,2,19,0,4,2,1,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:23,2023-09-08 09:17:47,32.0
197,chives,3,30,1,4,3,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:24,2023-08-13 16:27:27,15.0
198,endives,1,17,0,3,3,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:26,2022-04-22 11:56:26,0.0
199,bok choy,2,13,0,2,1,1,1,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:27,2022-04-22 11:56:27,0.0
200,apple juice,0,15,0,4,0,3,4,30,ml,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:29,2022-04-22 11:56:29,0.0
201,dates,3,282,0,75,8,63,67,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:30,2022-04-22 11:56:30,0.0
202,black tea,0,0,0,0,0,0,0,30,ml,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:32,2022-04-22 11:56:32,0.0
203,green tea,0,3,0,0,0,1,0,30,ml,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:33,2022-04-22 11:56:33,0.0
204,artichokes,3,50,0,11,5,1,6,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:35,2023-08-12 09:33:48,20.0
205,cassava flour,0,318,0,82,0,9,82,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:36,2023-09-19 07:05:52,46.0
206,chili pepper flakes,0,0,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:38,2023-08-15 08:54:59,0.0
207,vanilla extract,0,73,0,3,0,3,3,30,ml,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:39,2022-04-22 11:56:39,0.0
208,coconut yogurt,2,265,26,7,4,4,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:41,2023-09-19 03:40:54,54.0
210,cacao nibs,13,600,53,27,27,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:44,2023-09-16 05:50:31,0.0
213,cacao powder,3,87,6,6,6,0,0,15,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:49,2023-08-15 06:58:35,20.0
214,chia seeds,17,486,31,42,34,0,8,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:50,2023-08-13 13:18:57,30.0
215,tomato paste,3,91,0,18,6,12,12,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:52,2023-09-06 01:47:15,30.0
216,tomato sauce,2,25,0,5,2,3,3,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:53,2023-08-29 14:09:35,35.0
217,peach,4,239,1,61,8,42,53,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:55,2022-04-22 11:56:55,0.0
218,beef brisket,21,157,7,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:56:56,2023-09-16 05:40:53,0.0
219,pork loin,27,242,14,0,0,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:56:58,2022-04-22 11:56:58,0.0
220,coconut butter,6,656,66,25,16,6,9,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:00,2023-09-08 09:18:25,54.0
221,duck breast,15,179,13,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:01,2023-09-03 18:59:45,0.0
222,flax meal (ground flax seeds),3,60,4,3,3,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:03,2023-09-08 09:18:29,35.0
224,coconut milk (unsweetened),0,56,6,1,0,0,1,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:06,2023-09-19 03:43:27,97.0
225,turkey (ground),20,148,8,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:07,2023-09-08 09:18:34,0.0
226,tigernuts,6,469,25,50,13,19,38,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:09,2022-04-22 11:57:09,0.0
227,erythritol,0,20,0,5,0,5,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:11,2023-09-08 09:18:39,0.0
228,nutritional yeast,6,38,0,3,2,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:12,2023-09-08 09:18:44,35.0
229,crab,19,97,2,0,0,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:14,2022-04-22 11:57:14,0.0
230,pumpkin seeds,25,536,39,25,4,0,21,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:15,2023-09-08 09:18:49,25.0
231,radish (daikon),1,14,0,3,1,0,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:17,2023-08-30 14:42:14,32.0
232,coconut sugar,0,375,0,100,0,100,100,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:18,2023-09-08 09:18:56,54.0
233,celeriac,2,42,0,9,2,2,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:20,2023-08-15 07:24:54,15.0
234,pepperoni,19,504,46,1,0,0,1,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:21,2022-04-22 11:57:21,0.0
242,hemp seeds,32,553,49,9,4,2,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:33,2023-09-08 09:19:21,4.0
243,watermelon,1,30,0,8,1,6,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:35,2023-09-08 09:19:26,75.0
244,coconut water,0,21,0,5,0,5,5,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:36,2023-08-29 13:35:35,54.0
246,jicama,1,38,0,9,5,2,4,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:39,2022-04-22 11:57:39,0.0
247,xanthan gum,11,333,0,78,0,0,78,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:41,2023-09-08 09:19:30,0.0
248,egg yolk,3,55,5,1,0,0,1,17,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:42,2023-08-30 12:13:18,0.0
249,egg white,4,17,0,0,0,0,0,33,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:44,2023-08-30 12:13:07,0.0
251,whey protein powder,79,356,2,8,4,0,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:47,2023-09-08 09:19:35,0.0
252,psyllium husk,0,350,0,83,75,0,8,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:49,2022-04-22 11:57:49,0.0
253,Lady Finger,9,394,3,76,3,46,73,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:50,2022-04-22 11:57:50,0.0
254,macaroni,9,207,9,23,1,2,22,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:52,2022-04-22 11:57:52,0.0
255,Shredded Cheddar Cheese,25,393,32,4,0,0,4,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 11:57:53,2022-04-22 11:57:53,0.0
256,onions (french fried),0,64,5,4,0,0,4,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:55,2023-08-31 08:06:54,10.0
258,lemon juice,0,7,0,2,0,1,2,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:57:59,2023-08-29 13:40:15,20.0
269,salmon (canned),24,167,7,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:58:16,2023-08-30 18:52:18,0.0
274,lemon thyme,0,0,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:58:24,2023-08-31 02:18:15,0.0
275,oregano (ground),1,31,1,6,4,0,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:58:25,2023-08-31 02:16:24,5.0
278,lemon zest,0,5,0,2,1,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:58:30,2023-09-19 07:55:47,20.0
279,orange juice,0,14,0,3,0,3,3,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:58:31,2023-08-29 14:06:54,48.0
284,squash (chayote),2,23,0,5,2,2,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:58:39,2023-08-15 07:56:47,50.0
286,jalapeno pepper,1,29,0,7,3,4,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 11:58:42,2023-09-08 09:19:52,32.0
291,mustard (dijon),0,0,0,0,0,0,0,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:29,2023-08-30 11:11:33,35.0
293,frozen cheese ravioli,11,246,4,44,3,2,41,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 12:01:32,2022-04-22 12:01:32,0.0
294,Smoked Gouda cheese,23,317,27,0,0,0,0,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 12:01:34,2022-04-22 12:01:34,0.0
297,allspice,0,8,0,1,0,0,1,2,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:39,2023-09-05 05:38:36,0.0
298,vinegar (apple cider),0,3,0,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:40,2023-08-29 14:10:18,0.0
299,arrowroot flour,0,357,0,88,3,0,85,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:42,2023-08-12 09:28:31,85.0
300,arugula leaves,3,25,1,4,2,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:43,2023-08-12 09:36:50,15.0
301,bay leaf,1,31,1,8,3,0,5,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:45,2023-08-12 10:17:37,0.0
302,Brewed Espresso,0,9,0,2,0,0,2,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 12:01:46,2022-04-22 12:01:46,0.0
304,cayenne pepper,1,31,2,6,3,1,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:49,2023-08-13 12:48:08,0.0
305,chicken leg,16,214,16,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:51,2023-08-13 15:54:55,0.0
306,"chocolate chips/bar (dark, unsweetened)",14,643,54,29,14,0,14,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:52,2023-08-15 09:22:38,23.0
307,chorizo,14,296,25,4,0,0,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:54,2023-08-31 15:50:43,28.0
310,hazelnuts,15,628,61,17,10,4,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:01:59,2023-09-08 09:20:10,15.0
311,sausage (italian),19,344,27,4,0,2,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:02:00,2023-08-31 10:16:30,30.0
316,star anise,2,37,2,5,2,0,4,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:02:08,2023-09-03 18:58:58,0.0
317,tilapia,20,96,2,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:02:09,2023-09-06 11:58:10,0.0
318,squash (yellow),1,18,0,4,1,4,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:02:11,2023-08-15 08:03:39,15.0
319,basil (dried),2,16,0,3,3,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:02:13,2023-08-12 10:09:00,0.0
321,snap peas,2,48,0,8,2,4,6,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 12:02:16,2022-04-22 12:02:16,0.0
322,pork ribs,29,397,30,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2022-04-22 12:02:17,2023-09-16 05:18:43,0.0
323,Paleo ketchup,2,97,0,25,0,23,25,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 12:02:19,2022-04-22 12:02:19,0.0
324,sun-dried tomato,14,258,3,56,12,38,44,100,gm,2b1a30bd-b223-44ca-b56f-f5cf2be87cb2,,2022-04-22 12:02:20,2022-04-22 12:02:20,0.0
334,alfalfa sprouts,4,23,1,2,2,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 08:05:42,2023-08-12 08:05:42,15.0
335,almond meal,21,571,50,21,11,4,10,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 08:36:08,2023-08-12 08:36:08,1.0
336,almond milk (unsweetened),0,15,1,1,0,1,1,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 08:41:31,2023-08-29 13:04:00,30.0
337,anchovies (raw),20,131,5,0,0,0,0,100,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 08:47:39,2023-08-29 13:24:46,0.0
338,vinegar (red wine),0,3,0,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 09:12:30,2023-08-29 14:10:38,0.0
339,vinegar (white wine),0,0,0,0,0,0,0,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 09:14:19,2023-08-29 14:11:04,0.0
340,bamboo shoots,3,27,0,5,2,3,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 10:03:00,2023-08-12 10:03:00,20.0
341,beef (corned),25,232,14,2,0,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 10:21:14,2023-08-12 10:21:14,0.0
342,cabbage (savoy),2,27,0,6,3,2,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 20:53:00,2023-08-12 20:53:00,32.0
343,capers,2,23,1,5,3,0,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-12 21:02:43,2023-08-12 21:02:43,20.0
347,celery hearts,0,14,0,4,2,2,2,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-13 13:03:15,2023-08-13 13:03:15,15.0
348,mushrooms (chanterelle),2,32,1,7,4,1,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-13 13:06:48,2023-08-15 07:30:42,15.0
349,chicken breast (cooked),32,157,3,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-13 15:42:02,2023-08-13 15:42:02,0.0
350,chicken feet,19,215,15,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-13 15:52:21,2023-08-13 15:52:21,0.0
351,beef chuck roast,21,142,6,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 05:55:05,2023-08-15 05:55:05,0.0
352,beef short ribs,20,179,11,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:00:31,2023-08-15 06:00:31,0.0
353,beef sirloin,21,125,5,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:04:17,2023-08-15 06:04:17,0.0
354,beef bones,4,821,89,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:17:39,2023-08-15 06:17:39,0.0
355,blackberries,1,43,0,9,5,5,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:22:55,2023-08-15 06:22:55,25.0
356,brazil nuts,13,733,70,10,7,3,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:30:02,2023-08-15 06:30:02,15.0
357,lettuce (butter),1,45,0,12,2,2,10,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:38:35,2023-08-15 06:38:58,15.0
358,cabbage (red),1,31,0,7,2,4,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:47:14,2023-08-15 06:47:14,15.0
359,cacao butter,0,929,100,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 06:50:47,2023-08-15 06:52:52,0.0
360,cardamom,0,6,0,2,1,0,1,2,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 07:06:19,2023-08-15 07:07:25,0.0
361,cashew butter,17,600,53,27,3,0,24,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 07:14:56,2023-08-15 07:14:56,25.0
362,mushrooms (porcini),10,311,7,52,2,1,50,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 07:38:37,2023-08-15 07:38:37,15.0
363,chia seeds (flour/powder),20,533,33,40,33,0,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 08:27:40,2023-08-15 08:27:40,30.0
364,chipotle paste,0,96,11,1,0,0,1,15,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-15 09:04:02,2023-08-15 09:04:45,0.0
365,coconut milk powder,13,733,67,20,0,13,20,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-17 21:22:08,2023-09-08 09:20:37,97.0
366,coriander seeds,1,30,2,6,4,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-17 21:33:05,2023-09-08 09:21:55,33.0
367,cranberries (dried),0,339,0,82,7,71,75,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-17 21:35:57,2023-09-08 09:21:50,62.0
369,flax seeds,2,53,4,3,3,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-19 09:43:48,2023-09-08 09:21:44,35.0
370,garam masala,1,10,1,0,0,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-19 10:12:47,2023-09-08 09:21:39,5.0
371,garlic paste,0,6,0,1,0,1,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-19 10:31:55,2023-08-30 12:32:22,0.0
372,ginger paste,0,50,0,10,0,10,10,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-19 10:42:22,2023-08-30 15:44:22,15.0
373,green beans (frozen),1,37,0,7,3,1,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 20:11:37,2023-09-08 09:21:35,32.0
374,green peas,3,56,0,10,2,5,7,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 20:20:16,2023-09-08 09:21:30,22.0
375,hemp hearts,33,600,53,7,3,0,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 20:28:12,2023-09-08 09:21:26,0.0
376,jalapeno (pickled),0,33,0,3,3,3,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 20:42:28,2023-09-08 09:21:22,32.0
377,kohlrabi (German turnip or turnip cabbage),2,27,0,6,4,3,3,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 20:46:14,2023-09-08 09:21:09,20.0
378,lamb rib chop,21,359,30,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 20:50:10,2023-09-08 09:21:04,0.0
379,lamb rack,21,152,7,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 20:52:07,2023-09-08 09:20:59,0.0
380,lime juice,0,8,0,3,0,1,3,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 21:12:19,2023-08-29 13:40:42,0.0
381,liquid smoke,0,0,0,0,0,0,0,10,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 21:14:49,2023-08-29 13:41:11,0.0
382,marjoram,1,27,0,6,4,0,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 21:20:42,2023-09-08 09:23:18,0.0
383,marsala,0,176,17,0,0,0,0,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-21 21:24:41,2023-08-29 13:41:38,0.0
384,coconut aminos,0,30,0,6,0,6,6,15,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-22 04:33:59,2023-08-29 13:34:13,35.0
385,cranberries,1,46,0,12,4,4,8,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-22 05:30:59,2023-09-08 09:23:14,45.0
386,dill (dried),2,25,0,5,1,0,4,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-22 05:47:02,2023-09-03 00:54:37,15.0
387,mixed herbs (dried),0,12,1,1,0,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-22 05:50:34,2023-09-08 09:23:09,15.0
388,pistachio,20,560,45,28,11,8,17,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 06:46:53,2023-09-08 09:23:05,15.0
389,poppy seeds,18,525,42,28,19,3,9,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 06:53:10,2023-09-08 09:23:00,35.0
390,scallop,21,111,1,5,0,0,5,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 08:24:01,2023-09-08 09:22:50,0.0
391,shallot,3,72,0,17,3,8,14,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 09:05:36,2023-09-08 09:22:46,15.0
392,mustard (wholegrain),3,51,4,3,1,1,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 09:12:00,2023-09-08 09:22:42,32.0
393,sunflower seeds,21,584,52,20,9,3,11,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 09:18:56,2023-09-08 09:22:38,35.0
394,onion flakes,0,0,0,0,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 09:38:10,2023-08-30 11:03:14,15.0
395,swerve confectioner's sweetener,0,0,0,10,0,0,0,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 09:43:15,2023-09-08 09:22:34,0.0
396,tahini paste,5,190,16,6,3,0,3,30,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:00:43,2023-09-08 09:22:30,40.0
397,oyster sauce,2,38,2,2,0,1,2,30,ml,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:07:40,2023-08-29 14:07:26,0.0
398,parsley (dried),3,29,1,5,3,1,2,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:31:13,2023-09-08 09:24:18,15.0
399,pecans (raw),9,691,72,14,10,4,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:39:24,2023-09-08 09:24:14,10.0
400,pecans halves,11,714,71,14,11,4,4,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:42:28,2023-09-08 09:24:10,10.0
401,"pepper (black, ground)",1,26,0,7,3,0,4,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:47:12,2023-08-30 13:31:07,32.0
402,"pepper (black, whole)",1,24,0,6,2,0,4,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:50:28,2023-08-30 13:31:21,32.0
403,pickle (dill) - large,1,12,0,2,1,1,1,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 10:53:53,2023-09-03 00:54:27,15.0
404,pork rinds,64,571,36,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 11:03:12,2023-09-08 09:24:05,0.0
405,prosciutto,25,286,21,0,0,0,0,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 14:43:08,2023-09-08 09:24:01,0.0
406,psyllium husk (whole),0,35,0,8,7,0,1,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 14:52:11,2023-09-08 09:23:56,0.0
407,pumpkin spice,0,20,3,1,0,3,3,10,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 15:04:11,2023-09-08 09:23:52,0.0
408,raspberries (freeze-dried),9,371,0,80,34,37,46,100,gm,c74b2b12-1866-4eb0-91b1-1311b5d867b7,,2023-08-23 15:21:48,2023-09-08 09:23:47,32.0
